outcome,term,estimate,std_error,statistic,p_value,ci_95_lo,ci_95_hi,model_type
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_alone]:qwen",-0.06999999999995521,0.41529544402261404,-0.16855470245934964,0.8661469128513148,-0.8839641132278487,0.7439641132279383,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_plain_alone]:qwen",1.8000000000000587,0.4152954440226141,4.334263777529048,1.4624873254431847e-05,0.986035886772165,2.6139641132279525,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_vague_alone]:qwen",2.0700000000000602,0.41529544402261415,4.9844033441583875,6.21533055911172e-07,1.2560358867721666,2.883964113227954,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.credibility_alone]:qwen",-0.5499999999999553,0.41529544402261404,-1.3243583764670586,0.18538405138745295,-1.3639641132278488,0.2639641132279382,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_majority]:qwen",3.1000000000000636,0.41529544402261415,7.4645653946332695,8.348877145181177e-14,2.28603588677217,3.9139641132279572,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_vs_credibility]:qwen",2.8300000000000622,0.4152954440226141,6.814425828003931,9.46420719571961e-12,2.0160358867721686,3.643964113227956,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_credibility]:qwen",1.200000000000055,0.4152954440226141,2.8895091850194037,0.0038584373487704493,0.3860358867721614,2.0139641132279484,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_alone]:qwen",-0.2600000000000016,0.046460765499650156,-5.596119590452279,2.1920252502027893e-08,-0.351061427073477,-0.16893857292652623,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_plain_alone]:qwen",-0.18000000000000146,0.04646076549965015,-3.8742366395438936,0.00010695944182281814,-0.27106142707347686,-0.08893857292652609,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_vague_alone]:qwen",-0.2600000000000016,0.04646076549965015,-5.59611959045228,2.1920252502027893e-08,-0.351061427073477,-0.16893857292652625,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.credibility_alone]:qwen",-0.2400000000000015,0.04646076549965015,-5.165648852725182,2.3960625306074235e-07,-0.33106142707347685,-0.14893857292652612,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_majority]:qwen",-0.2700000000000016,0.04646076549965015,-5.811354959315828,6.196920976364595e-09,-0.361061427073477,-0.17893857292652626,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_vs_credibility]:qwen",-0.17000000000000123,0.04646076549965015,-3.6590012706803408,0.00025320008491913626,-0.2610614270734766,-0.07893857292652585,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_credibility]:qwen",-0.11000000000000111,0.04646076549965015,-2.3675890574990506,0.017904410381182956,-0.2010614270734765,-0.018938572926525732,LMM with condition × model (random intercept: question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_alone]:qwen",-2.555952207592695,0.9186460582521073,-2.782303570164839,0.005397452752490345,-4.356465396306509,-0.7554390188788802,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.majority_vague_alone]:qwen",-0.7420249765879959,0.3879445043750081,-1.912709081376017,0.05578530595538954,-1.5023822331632533,0.01833227998726139,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.credibility_alone]:qwen",-2.750455482624643,0.9252084858286805,-2.9727953480248783,0.002951011414654458,-4.563830793039694,-0.9370801722095923,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_vs_majority]:qwen",-2.6061131738959062,0.9204690980262543,-2.8312880676647905,0.004636094592646208,-4.410199454909433,-0.8020268928823793,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.majority_vs_credibility]:qwen",-2.3150584169654853,0.7496295762974314,-3.088269847089033,0.002013255698148759,-3.7843053882544715,-0.8458114456764991,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_vs_credibility]:qwen",-1.7486629420446838,0.7414263098302255,-2.3585121256960777,0.0183483603361269,-3.201831806502361,-0.2954940775870063,GEE with condition × model (exchangeable by question)
