outcome,term,estimate,std_error,statistic,p_value,ci_95_lo,ci_95_hi,model_type
confidence,Intercept,6.490000000000022,0.2159869855544833,30.04810675670503,0.0,6.066673287183862,6.913326712816183,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_alone]",0.18999999999998668,0.2936582246642668,0.6470106540254735,0.5176250481862203,-0.385559544105948,0.7655595441059213,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_plain_alone]",-2.5700000000000194,0.2936582246642668,-8.751670425503137,0.0,-3.145559544105954,-1.9944404558940847,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_vague_alone]",-2.550000000000021,0.29365822466426683,-8.683564040868877,0.0,-3.125559544105956,-1.9744404558940865,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.credibility_alone]",0.6299999999999857,0.2936582246642668,2.1453511159793033,0.03192478443324309,0.054440455894051,1.2055595441059204,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_majority]",-2.9800000000000226,0.2936582246642668,-10.147851310505583,0.0,-3.5555595441059573,-2.404440455894088,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_vs_credibility]",-3.3900000000000206,0.2936582246642668,-11.544032195508011,0.0,-3.9655595441059552,-2.814440455894086,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_credibility]",-1.8600000000000174,0.29365822466426683,-6.333893770986716,2.3905011303781976e-10,-2.4355595441059523,-1.2844404558940825,LMM with condition × model (random intercept: question)
confidence,qwen,3.2399999999999505,0.29365822466427,11.033234310750663,0.0,2.6644404558940096,3.8155595441058914,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_alone]:qwen",-0.06999999999995521,0.41529544402261404,-0.16855470245934964,0.8661469128513148,-0.8839641132278487,0.7439641132279383,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_plain_alone]:qwen",1.8000000000000587,0.4152954440226141,4.334263777529048,1.4624873254431847e-05,0.986035886772165,2.6139641132279525,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_vague_alone]:qwen",2.0700000000000602,0.41529544402261415,4.9844033441583875,6.21533055911172e-07,1.2560358867721666,2.883964113227954,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.credibility_alone]:qwen",-0.5499999999999553,0.41529544402261404,-1.3243583764670586,0.18538405138745295,-1.3639641132278488,0.2639641132279382,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_majority]:qwen",3.1000000000000636,0.41529544402261415,7.4645653946332695,8.348877145181177e-14,2.28603588677217,3.9139641132279572,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.majority_vs_credibility]:qwen",2.8300000000000622,0.4152954440226141,6.814425828003931,9.46420719571961e-12,2.0160358867721686,3.643964113227956,LMM with condition × model (random intercept: question)
confidence,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_credibility]:qwen",1.200000000000055,0.4152954440226141,2.8895091850194037,0.0038584373487704493,0.3860358867721614,2.0139641132279484,LMM with condition × model (random intercept: question)
confidence,question_id random intercept variance,0.3532801472427914,,,,,,LMM with condition × model (random intercept: question)
accuracy,Intercept,0.7099999999999994,0.024132682250134724,29.420683231182714,0.0,0.6627008119393863,0.7572991880606125,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_alone]",0.26999999999999985,0.032852722343920504,8.218496999228563,2.220446049250313e-16,0.20560984741182137,0.33439015258817834,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_plain_alone]",0.10000000000000016,0.032852722343920504,3.043887777492067,0.002335422411686272,0.03560984741182166,0.16439015258817866,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_vague_alone]",0.21000000000000008,0.032852722343920504,6.3921643327333335,1.635540591848894e-10,0.1456098474118216,0.27439015258817856,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.credibility_alone]",0.24999999999999978,0.032852722343920504,7.609719443730149,2.7533531010703882e-14,0.1856098474118213,0.31439015258817826,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_majority]",0.27999999999999986,0.032852722343920504,8.52288577697777,0.0,0.21560984741182138,0.34439015258817834,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_vs_credibility]",0.16999999999999973,0.0328527223439205,5.174609221736499,2.2838847812955976e-07,0.10560984741182125,0.23439015258817822,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_credibility]",0.10999999999999979,0.032852722343920504,3.348276555241262,0.0008131582280437311,0.045609847411821294,0.1743901525881783,LMM with condition × model (random intercept: question)
accuracy,qwen,0.28000000000000164,0.03285272234392063,8.522885776977793,0.0,0.2156098474118229,0.3443901525881804,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_alone]:qwen",-0.2600000000000016,0.046460765499650156,-5.596119590452279,2.1920252502027893e-08,-0.351061427073477,-0.16893857292652623,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_plain_alone]:qwen",-0.18000000000000146,0.04646076549965015,-3.8742366395438936,0.00010695944182281814,-0.27106142707347686,-0.08893857292652609,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_vague_alone]:qwen",-0.2600000000000016,0.04646076549965015,-5.59611959045228,2.1920252502027893e-08,-0.351061427073477,-0.16893857292652625,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.credibility_alone]:qwen",-0.2400000000000015,0.04646076549965015,-5.165648852725182,2.3960625306074235e-07,-0.33106142707347685,-0.14893857292652612,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_majority]:qwen",-0.2700000000000016,0.04646076549965015,-5.811354959315828,6.196920976364595e-09,-0.361061427073477,-0.17893857292652626,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.majority_vs_credibility]:qwen",-0.17000000000000123,0.04646076549965015,-3.6590012706803408,0.00025320008491913626,-0.2610614270734766,-0.07893857292652585,LMM with condition × model (random intercept: question)
accuracy,"C(condition_cat, Treatment(reference='prior'))[T.strength_vs_credibility]:qwen",-0.11000000000000111,0.04646076549965015,-2.3675890574990506,0.017904410381182956,-0.2010614270734765,-0.018938572926525732,LMM with condition × model (random intercept: question)
accuracy,question_id random intercept variance,0.004273566988260117,,,,,,LMM with condition × model (random intercept: question)
belief_flip,Intercept,-1.1526795099383862,0.23414645289542374,-4.922899730850096,8.527114940621689e-07,-1.611598124721221,-0.6937608951555514,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_alone]",0.15805693479432298,0.2293454007457839,0.6891654869919103,0.49071913302461145,-0.29145179068731913,0.6075656602759651,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.majority_vague_alone]",0.35256020982627256,0.21781380414530266,1.6186311570550467,0.10552664717912777,-0.07434700163418179,0.779467421286727,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.credibility_alone]",0.35256020982627145,0.24019830489664407,1.4677880844245594,0.1421617951266655,-0.1182198169187218,0.8233402365712648,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_vs_majority]",0.20821790109753355,0.2322807143740505,0.8964063230933254,0.370035791465095,-0.2470439333788407,0.6634797355739078,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.majority_vs_credibility]",0.6204626961910772,0.21311184213638248,2.9114416635468223,0.0035976508070041636,0.20277116092478198,1.0381542314573724,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_vs_credibility]",0.05406722127027568,0.20935713352242175,0.258253541976802,0.7962112384452986,-0.3562652203402142,0.46439966288076556,GEE with condition × model (exchangeable by question)
belief_flip,qwen,-1.0445450673978354,0.39827845911391224,-2.622650167226552,0.008724880879037222,-1.8251565030792118,-0.2639336317164589,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_alone]:qwen",-2.555952207592695,0.9186460582521073,-2.782303570164839,0.005397452752490345,-4.356465396306509,-0.7554390188788802,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.majority_vague_alone]:qwen",-0.7420249765879959,0.3879445043750081,-1.912709081376017,0.05578530595538954,-1.5023822331632533,0.01833227998726139,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.credibility_alone]:qwen",-2.750455482624643,0.9252084858286805,-2.9727953480248783,0.002951011414654458,-4.563830793039694,-0.9370801722095923,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_vs_majority]:qwen",-2.6061131738959062,0.9204690980262543,-2.8312880676647905,0.004636094592646208,-4.410199454909433,-0.8020268928823793,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.majority_vs_credibility]:qwen",-2.3150584169654853,0.7496295762974314,-3.088269847089033,0.002013255698148759,-3.7843053882544715,-0.8458114456764991,GEE with condition × model (exchangeable by question)
belief_flip,"C(condition_cat, Treatment(reference='majority_plain_alone'))[T.strength_vs_credibility]:qwen",-1.7486629420446838,0.7414263098302255,-2.3585121256960777,0.0183483603361269,-3.201831806502361,-0.2954940775870063,GEE with condition × model (exchangeable by question)
